metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
Pi	PHOSPHOKETOLASE-RXN;GLYCOPHOSPHORYL-RXN;RXN0-6482;RXN0-6481;2.7.7.8-RXN;FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN;GAPOXNPHOSPHN-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;PHOSACETYLTRANS-RXN;N-ACETYLGLUTPREDUCT-RXN;2.4.1.211-RXN;RXN-9025;ABC-27-RXN;RXN-15605;TRNA-NUCLEOTIDYLTRANSFERASE-RXN	RXN-22505;THYM-PHOSPH-RXN;GLYCOPHOSPHORYL-RXN;URPHOS-RXN;URA-PHOSPH-RXN;PHOSACETYLTRANS-RXN;2.4.1.216-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;N-ACETYLGLUTPREDUCT-RXN;RXN0-5199;GAPOXNPHOSPHN-RXN;RXN-9590;DEOXYGUANPHOSPHOR-RXN;ADENPHOSPHOR-RXN;INOPHOSPHOR-RXN;PHOSPHOKETOLASE-RXN;DEOXYINOPHOSPHOR-RXN;2.7.7.8-RXN;1.2.3.3-RXN;DEOXYADENPHOSPHOR-RXN;XANTHOSINEPHOSPHORY-RXN;MALTOSE-PHOSPHORYLASE-RXN;RXN-9025;ABC-27-RXN	INOPHOSPHOR-RXN;GLYCOPHOSPHORYL-RXN;DEOXYINOPHOSPHOR-RXN;RXN0-5199;2.7.7.8-RXN;RXN-9590;DEOXYADENPHOSPHOR-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;PHOSACETYLTRANS-RXN;XANTHOSINEPHOSPHORY-RXN;DEOXYGUANPHOSPHOR-RXN;N-ACETYLGLUTPREDUCT-RXN;RXN-9025;ABC-27-RXN;ADENPHOSPHOR-RXN	AIRS-RXN;CYSPH-RXN;R345-RXN;QUINOLINATE-SYNTHA-RXN;5.99.1.3-RXN;FORMATETHFLIG-RXN;CTPSYN-RXN;ORNCARBAMTRANSFER-RXN;RXN-22326;UDP-NACMUR-ALA-LIG-RXN;NICOTINATEPRIBOSYLTRANS-RXN;RXN-11322;RXN-22608;3.1.21.3-RXN;RXN-7607;RXN-14026;RXN-20400;EXOPOLYPHOSPHATASE-RXN;SUCCCOASYN-RXN;RXN-14025;RXN-5841;CHORISMATE-SYNTHASE-RXN;FORMYLTHFGLUSYNTH-RXN;RXN-20406;RXN-19892;RXN-18028;5-FORMYL-THF-CYCLO-LIGASE-RXN;5-NUCLEOTID-RXN;DAHPSYN-RXN;RXN-14965;RXN-18029;RXN-6341;ASPCARBTRANS-RXN;6.3.5.6-RXN;CARBPSYN-RXN;RXN-11135;6.3.5.7-RXN;GLUTAMINESYN-RXN;RXN0-4261;PPPGPPHYDRO-RXN;PSERPHOSPHA-RXN;RXN-11109;UDP-NACMURALGLDAPAALIG-RXN;TRIPHOSPHATASE-RXN;RXN0-2921;3.1.3.16-RXN;RXN-14473;INORGPYROPHOSPHAT-RXN;RXN-22388;3-DEHYDROQUINATE-SYNTHASE-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-21299;3.6.3.40-RXN;ATPASE-RXN;SAICARSYN-RXN;GLUCOSE-1-PHOSPHAT-RXN;RXN-8852;RXN0-1061;RXN0-5114;2.5.1.19-RXN;GLYRIBONUCSYN-RXN;RXN0-5462;RXN-8457;ATP-ADENYLYLTRANSFERASE-RXN;RXN0-5186;UDP-NACMURALA-GLU-LIG-RXN;DALADALALIG-RXN;THRESYN-RXN;QUINOLINATE-SYNTHE-MULTI-RXN;TRANS-RXN-194;GLYCEROL-1-PHOSPHATASE-RXN;RIBOPHOSPHAT-RXN;6.3.2.7-RXN;ABC-42-RXN;RXN-17753;XMPXAN-RXN;RXN-20927;RXN-7609;RXN1G-4355;RXN-16707;RXN-14964;TRANS-RXN-314;TRANS-RXN-321;RXN185E-10;ADENYLOSUCCINATE-SYNTHASE-RXN;S-ADENMETSYN-RXN;6.3.2.10-RXN;GLUTSEMIALDEHYDROG-RXN;ABC-7-RXN;RXN0-742;RXN-21036;ATPSYN-RXN;GLUTCYSLIG-RXN;RXN2DNV-43;3.4.21.92-RXN;PROPIONYL-COA-CARBOXY-RXN;ABC-70-RXN;PROTEIN-TYROSINE-PHOSPHATASE-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;ACID-PHOSPHATASE-RXN;FGAMSYN-RXN;AMP-DEPHOSPHORYLATION-RXN;PEPCARBOX-RXN;DIHYDROFOLATESYNTH-RXN;RXN-19022;UNDECAPRENYL-DIPHOSPHATASE-RXN;RXN-14455;RXN-14227;HISTIDPHOS-RXN;ACYLPHOSPHATASE-RXN;RXN-13028;ABC-27-RXN	AIRS-RXN;CYSPH-RXN;R345-RXN;RXN-22366;MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN;3.6.3.31-RXN;5.99.1.3-RXN;FORMATETHFLIG-RXN;CTPSYN-RXN;ORNCARBAMTRANSFER-RXN;RXN-22383;RXN-22326;UDP-NACMUR-ALA-LIG-RXN;RXN-8638;F16BDEPHOS-RXN;NICOTINATEPRIBOSYLTRANS-RXN;RXN-22608;3.6.3.42-RXN;3.1.21.3-RXN;RXN-13141;TRANS-RXN-2;RXN0-6727;CHORISMATE-SYNTHASE-RXN;FORMYLTHFGLUSYNTH-RXN;RXN-18028;TRANS-RXN-366;5-FORMYL-THF-CYCLO-LIGASE-RXN;ABC-25-RXN;DAHPSYN-RXN;RXN-18029;3.6.3.3-RXN;RXN-6341;ASPCARBTRANS-RXN;6.3.5.6-RXN;CARBPSYN-RXN;PUTRESCINE-CARBAMOYLTRANSFERASE-RXN;RXN-22389;RXN-11135;6.3.5.7-RXN;GLUTAMINESYN-RXN;RXN0-4261;PSERPHOSPHA-RXN;RXN-11109;UDP-NACMURALGLDAPAALIG-RXN;RXN-12195;3.6.3.44-RXN;TRIPHOSPHATASE-RXN;RXN0-2921;3.1.3.16-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN;TRANS-RXN2B4Q-127;INORGPYROPHOSPHAT-RXN;RXN-22388;3-DEHYDROQUINATE-SYNTHASE-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-21299;3.6.3.40-RXN;SAICARSYN-RXN;RXN0-1061;RXN0-5114;TRANS-RXN-220;2.5.1.19-RXN;GLYRIBONUCSYN-RXN;RXN-8457;6.3.1.12-RXN;UDP-NACMURALA-GLU-LIG-RXN;DALADALALIG-RXN;THRESYN-RXN;RXN-20868;TRANS-RXN-194;RIBOPHOSPHAT-RXN;GPH-RXN;TRANS-RXN-324;6.3.2.7-RXN;ABC-42-RXN;RXN-17753;ABC-24-RXN;RXN-20927;3.6.3.16-RXN;TRANS-RXN-314;TRANS-RXN-321;RXN185E-10;ADENYLOSUCCINATE-SYNTHASE-RXN;6.3.2.10-RXN;GLUTSEMIALDEHYDROG-RXN;TRANS-RXN-424;SUGAR-PHOSPHATASE-RXN;RXN-12039;RXN0-742;RXN-21036;RXN-22384;TRANS-RXN-477;ATPSYN-RXN;3.4.21.92-RXN;PROTEIN-TYROSINE-PHOSPHATASE-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;TRANS-RXN-250;FGAMSYN-RXN;RXN-11344;DIHYDROFOLATESYNTH-RXN;LUMAZINESYN-RXN;RXN-19022;UNDECAPRENYL-DIPHOSPHATASE-RXN;RXN-14455;BIOTIN-CARBOXYL-RXN;HISTIDPHOS-RXN;ACYLPHOSPHATASE-RXN;RXN-11342;RXN0-7388;ABC-27-RXN	RXN-14475;AIRS-RXN;CYSPH-RXN;R345-RXN;MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN;3.6.3.31-RXN;5.99.1.3-RXN;FORMATETHFLIG-RXN;CTPSYN-RXN;ORNCARBAMTRANSFER-RXN;ABC-27-RXN;RXN-22326;UDP-NACMUR-ALA-LIG-RXN;RXN0-7291;F16BDEPHOS-RXN;NICOTINATEPRIBOSYLTRANS-RXN;RXN-22608;3.1.21.3-RXN;RXN-7607;RXN-13141;RXN-14026;RXN-14090;RXN0-6727;RXN-14115;RXN-14025;RXN-5841;CHORISMATE-SYNTHASE-RXN;FORMYLTHFGLUSYNTH-RXN;RXN-18028;5-FORMYL-THF-CYCLO-LIGASE-RXN;5-NUCLEOTID-RXN;ABC-25-RXN;DAHPSYN-RXN;RXN-18029;RXN-6341;ASPCARBTRANS-RXN;6.3.5.6-RXN;CARBPSYN-RXN;3-NUCLEOTID-RXN;RXN-11135;6.3.5.7-RXN;RXN0-4261;PSERPHOSPHA-RXN;RXN-11109;UDP-NACMURALGLDAPAALIG-RXN;TRIPHOSPHATASE-RXN;RXN0-2921;3.1.3.16-RXN;ACETYL-COA-CARBOXYLTRANSFER-RXN;INORGPYROPHOSPHAT-RXN;RXN-22388;3-DEHYDROQUINATE-SYNTHASE-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-21299;3.6.3.40-RXN;ATPASE-RXN;SAICARSYN-RXN;RXN0-1061;RXN0-5114;2.5.1.19-RXN;GLYRIBONUCSYN-RXN;RXN0-5462;RXN-14126;UDP-NACMURALA-GLU-LIG-RXN;THRESYN-RXN;TRANS-RXN-194;RIBOPHOSPHAT-RXN;GPH-RXN;6.3.2.7-RXN;ABC-42-RXN;RXN-17753;XMPXAN-RXN;ABC-24-RXN;RXN-20927;RXN-7609;TRANS-RXN-314;TRANS-RXN-321;ADENYLOSUCCINATE-SYNTHASE-RXN;S-ADENMETSYN-RXN;6.3.2.10-RXN;GLUTSEMIALDEHYDROG-RXN;TRANS-RXN-424;SUGAR-PHOSPHATASE-RXN;ABC-7-RXN;RXN-12039;RXN0-742;RXN-21036;TRANS-RXN-477;ATPSYN-RXN;3.4.21.92-RXN;ABC-70-RXN;PROTEIN-TYROSINE-PHOSPHATASE-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;RXN-14124;FGAMSYN-RXN;AMP-DEPHOSPHORYLATION-RXN;PEPCARBOX-RXN;RXN-12093;DIHYDROFOLATESYNTH-RXN;RXN-19022;UNDECAPRENYL-DIPHOSPHATASE-RXN;RXN-14227;BIOTIN-CARBOXYL-RXN;HISTIDPHOS-RXN;ACYLPHOSPHATASE-RXN;RXN0-7388;RXN-12798
CPD-24871				RXN-22643	RXN-22643	RXN-22643
BUTYLAMINE				RXN-21418		
XYLULOSE-5-PHOSPHATE	2TRANSKETO-RXN;PHOSPHOKETOLASE-RXN	2TRANSKETO-RXN;PHOSPHOKETOLASE-RXN	2TRANSKETO-RXN	XYLULOKIN-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN	RIBULPEPIM-RXN;XYLULOKIN-RXN;RIBULP3EPIM-RXN;1TRANSKETO-RXN	RIBULP3EPIM-RXN;1TRANSKETO-RXN
POLY-GLUCOSYLATED-GLYCOGENINS	RXN-7669	RXN-7669				
CPD-10726	RXN-15157					
L-DELTA1-PYRROLINE_5-CARBOXYLATE	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN	SPONTPRO-RXN;PYRROLINECARBREDUCT-RXN			
OXALO-SUCCINATE				RXN-8457	RXN-8457	
CROTONYL-COA	RXN-11726					
C-DI-GMP	RXN0-4181					
CPD-15277				RXN-14429		
CPD0-1081	RXN0-5226	RXN0-5226		RXN0-5225	RXN0-5225	RXN0-5225
C5	NACGLCTRANS-RXN	NACGLCTRANS-RXN	NACGLCTRANS-RXN	PHOSNACMURPENTATRANS-RXN	PHOSNACMURPENTATRANS-RXN	PHOSNACMURPENTATRANS-RXN
CPD-19489	RXN-18205	RXN-18205	RXN-18205			
CPD-19493				RXN-18212	RXN-18212	RXN-18212
tRNA-Containing-N1-Methylguanine-37				RXN-12458	RXN-12458	RXN-12458
NACMUR				RXN-14267;RXN-21432	RXN-14267;RXN-21432	RXN-14267
SORBITOL	RXN-7644	RXN-7644				
CPD-568				SPERMACTRAN-RXN	SPERMACTRAN-RXN	SPERMACTRAN-RXN
G3P	PGLYCDEHYDROG-RXN;PHOSGLYPHOS-RXN	PGLYCDEHYDROG-RXN;PHOSGLYPHOS-RXN		GLY3KIN-RXN;RXN-15513	RXN-15513	1.2.1.9-RXN;GLY3KIN-RXN;RXN-15513
CPD-606	TEICHOICSYN4-RXN					
CPD0-1193				RXN0-5414	RXN0-5414	RXN0-5414
PedN-ACP	RXN-20498	RXN-20498	RXN-20498			
DTDP-DEOH-DEOXY-MANNOSE				DTDPDEHYDRHAMEPIM-RXN	DTDPDEHYDRHAMEPIM-RXN;DTDPDEHYRHAMREDUCT-RXN	DTDPDEHYDRHAMEPIM-RXN;DTDPDEHYRHAMREDUCT-RXN
CPD-13137	RXN-21219	RXN-21219	RXN-21219			
SER-tRNAs	SERINE--TRNA-LIGASE-RXN	SERINE--TRNA-LIGASE-RXN	SERINE--TRNA-LIGASE-RXN			
Teichoic-P-Gro-Glc	RXN-18028	RXN-18028	RXN-18028	RXN-18028	TEICHOICSYN5-RXN;RXN-18028	TEICHOICSYN5-RXN;RXN-18028
CPD-1086	RIBOPHOSPHAT-RXN	RIBOPHOSPHAT-RXN	RIBOPHOSPHAT-RXN			
QUEUINE	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN				
ACETOIN	RXN-9718					
ANTHRANILATE				ANTHRANSYN-RXN;RXN-11543;PRTRANS-RXN	ANTHRANSYN-RXN;RXN0-5375;PRTRANS-RXN	ANTHRANSYN-RXN;PRTRANS-RXN
Malonyl-BryU-ACP				RXN-20481	RXN-20481	RXN-20481
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	RXN-5721	RXN-5721	RXN-5721			
MALTOSE		MALTACETYLTRAN-RXN;MALTOSE-PHOSPHORYLASE-RXN		AMYLOMALT-RXN;RXN-12193;RXN-14261;3.2.1.1-RXN;RXN-14354;RXN-14260	AMYLOMALT-RXN;RXN-12193;RXN-14261;3.2.1.1-RXN;RXN-14354;RXN-14260	AMYLOMALT-RXN;RXN-14475;RXN-12193;RXN-14261;RXN-14354;RXN-14260
Protein-Tyrosines	2.7.10.1-RXN	RXN-16454	2.7.10.1-RXN;RXN-16454	PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN
CPD0-971	RXN-19947;RXN-9023	RXN-19947;RXN-9023	RXN-19947;RXN-9023	GLYCOPHOSPHORYL-RXN	GLYCOPHOSPHORYL-RXN	GLYCOPHOSPHORYL-RXN
CPD-19169		RXN-17778				
CPD-7266		3.2.1.156-RXN				
L-RIBULOSE-5-P		RIBULPEPIM-RXN			RXN0-5116	
DTDP-RHAMNOSE		DTDPDEHYRHAMREDUCT-RXN	DTDPDEHYRHAMREDUCT-RXN			
1-L-MYO-INOSITOL-1-P		MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN			
COUMARATE		RXN-802				
N-Acylethanolamines					RXN-20557	
CPD-15978		6-PHOSPHO-BETA-GLUCOSIDASE-RXN	6-PHOSPHO-BETA-GLUCOSIDASE-RXN			
cis-19-CP-37-Mex-38-Me-C59-ACPs					RXN1G-2544	
CPD-622					2-METHYLCITRATE-SYNTHASE-RXN	2-METHYLCITRATE-SYNTHASE-RXN
CPD0-2579		RXN0-3461				
CPD-15711					RXN-15165;RXN-14815	RXN-15165;RXN-14815
CARDIOLIPIN					CARDIOLIPSYN-RXN;RXN0-7012;RXN-8141	CARDIOLIPSYN-RXN;RXN0-7012;RXN-8141
CADAVERINE					LYSDECARBOX-RXN	
CPD-24786		RXN-11351				
CPD-734					RXN-10767;RXN-745	RXN-745
Beta-3-hydroxybutyryl-ACPs		4.2.1.58-RXN			RXN-9514	
DETHIOBIOTIN		2.8.1.6-RXN				
cis-D21-39-oxo-40-Me-C59-1-ACPs		RXN1G-3641				
D-alanine-carrier-protein		RXN-18014	RXN-18014			
23S-rRNA-2-O-methylguanosine2251					RXN-11588	
tRNA-Containing-N1-MethylAdenine-22					RXN-12472	RXN-12472
CPD-67		GPH-RXN	GPH-RXN			
CPD-19243					RXN-17962	
ACETOACETYL-COA		HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN		ACETYL-COA-ACETYLTRANSFER-RXN	
GLUCOSAMINE		TRANS-RXN-167A	TRANS-RXN-167A		RXN0-7002	RXN0-7002
CPD-9647		UNDECAPRENOL-KINASE-RXN	UNDECAPRENOL-KINASE-RXN			
Nitroaromatic-Red-Compounds					RXN-13853	RXN-13853
Grx-GSH-dithiol					RXN-982	
L-RIBULOSE		RXN0-5116			ARABISOM-RXN	
CPD-15699		RXN-14808				
R-3-Hydroxypalmitoyl-ACPs		4.2.1.61-RXN			RXN-9540	
tRNA-2-thiouridine34					RXN-16820;RXN0-2023;RXN-18693	RXN-16820;RXN0-2023;RXN-18693
23S-rRNA-cytosine-1962		RXN-11602	RXN-11602			
CPD-15973		LACTOSE6P-HYDROXY-RXN			RXN-15085	
CPD-12298		RXN-11342	RXN-11310;RXN-11295			
Mannose-6-phosphate					RXN-15087	RXN-15087
CPD-307					1.5.1.24-RXN	
CPD-15974					RXN-15159	
ARACHIDONIC_ACID					RXN-18935	
Ribulose-phosphates					RIBULOKIN-RXN	
CPD-22658		RXN-22365			RXN-21019	
CPD-12334					RXN-11364	
PENICILLIN-G		RXN-17099				
CPD-7267					3.2.1.156-RXN	
ACYL-ACP		RXN-9590;1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN;RXN-10462	RXN-9590			
SAMP-C-Terminal-thiol		RXN-18693	RXN-18693			
tRNA-Adenine-22		RXN-12472	RXN-12472			
CPD0-2040		RXN-21019;3.6.3.16-RXN;RXN-22315			3.6.3.16-RXN;RXN-22366;RXN-982	
CPD-1162		RXN0-5295	RXN0-5295			
CPD-13172					RXN-12252	
CPD-195		RXN0-5098				
16S-rRNA-uridine516		RXN-11833				
PENICILLIN		PENICILLIN-AMIDASE-RXN;RXN-22383			RXN-22383	
CPD-24319		RXN-22317			RXN-22316	
CPD-24961					XYLISOM-RXN	
CPD-15408		RXN-14536				
CPD-409		RXN-7952				
CPD-15413		RXN-14636	RXN-14636			
2-AMINOMALONATE-SEMIALDEHYDE		RXN-16002				
HEXANOYL-COA					RXN-14277	
Trans-D2-decenoyl-ACPs		RXN-9660	5.3.3.14-RXN		RXN-9655	RXN-9655
CPD1G-120		RXN1G-4	RXN1G-4			
CPD-6401					RXN-6702	
R-3-hydroxymyristoyl-ACPs		RXN-9537			RXN-9536	
Phospholipid-Oleate		RXN-7421				
23S-rRNA-guanine-748		RXN-11599				
CEPHALOSPORIN-C		CEPHALOSPORIN-C-DEACETYLASE-RXN				
CPD0-1699		RXN0-6575	RXN0-6575			RXN0-5507
THYMIDINE		THYM-PHOSPH-RXN;THYKI-RXN	THYKI-RXN			
CPD-678		RXN-12726	RXN-12726			
CPD-19167		RXN-17782				
2-Hexadecenoyl-ACPs		RXN-9663			4.2.1.61-RXN	
CPD-11926		RXN-20868			RXN-20868	
Oleoyl-ACPs		RXN-16629	RXN-16629			
CPD-12152					RXN-11187	
CPD0-2351		RXN0-4222;RXN0-6479	RXN0-4222;RXN0-6479			
D-RIBULOSE-15-P2					RXN-8801	
CPD0-1074		RXN0-7014				
Xenobiotic		3.6.3.44-RXN			3.6.3.44-RXN	
L-PANTOATE					2-DEHYDROPANTOATE-REDUCT-RXN	2-DEHYDROPANTOATE-REDUCT-RXN
MYO-INOSITOL					MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
CPD-9924		RXN-9310			2.5.1.64-RXN	
C-nitro-compounds		RXN-13853	RXN-13853			
Quaternary-Amines		RXN-8638			RXN-8638	
Nonmethylated-Ribosomal-Protein-L11s		RXN0-5419	RXN0-5419			
CPD-15826					RXN-16992	
DEOXY-RIBOSE-5P		DEOXYRIBOSE-P-ALD-RXN			D-PPENTOMUT-RXN	D-PPENTOMUT-RXN
BETA-L-ARABINOSE		ARABISOM-RXN				
TRIPEPTIDES		3.4.11.4-RXN	3.4.11.4-RXN			
INDOLE_ACETATE_AUXIN					RXN-10711	
N-ACETYL-L-2-AMINO-6-OXO-PIMELATE					2.3.1.89-RXN	2.3.1.89-RXN
LIPOIC-ACID		RXN-17127;RXN0-1141				
CPD-19953		TRANS-RXN-366			TRANS-RXN-366	
CPD-19241		RXN-17961				
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE			H2PTERIDINEPYROPHOSPHOKIN-RXN		H2NEOPTERINALDOL-RXN;RXN-10857	H2NEOPTERINALDOL-RXN;RXN-10857
CPD-448		BETA-PHOSPHOGLUCOMUTASE-RXN			MALTOSE-PHOSPHORYLASE-RXN;2.4.1.216-RXN	
6-Phospho-b-D-galactosides		6-PHOSPHO-BETA-GALACTOSIDASE-RXN				
CPD-10546		RXN-10711				
Xaa-Pro-Dipeptidyl-Peptidase-Substrates		3.4.14.11-RXN				
Phospholipid-Cis-Olefinic-Fatty-Acids		2.1.1.79-RXN				
CPD-1072					RXN-801	
6-AMINOPENICILLANATE					PENICILLIN-AMIDASE-RXN;RXN-17099	
CPD-12311					RXN-11351	
RNASE-II-SUBSTRATE-WITH-NO-POLY-A-TAIL					RXN0-6524	RXN0-6524
Crotonyl-ACPs		RXN-9657			4.2.1.58-RXN	
CPD-15971		RXN-15159				
CPD-548		S-FORMYLGLUTATHIONE-HYDROLASE-RXN				
tRNAs-containing-epoxy-quenosine			RXN-12104		RXN0-1342	RXN0-1342
PHENYLACETATE					RXN-17099	
23S-rRNA-5-methyluracil747					RXN-11600	RXN-11600
CD+2		3.6.3.3-RXN			3.6.3.3-RXN	
TYPEIV-EFFECTOR-PROTEINS		TRANS-RXN-477	TRANS-RXN-477		TRANS-RXN-477	TRANS-RXN-477
REDUCED-MENAQUINONE					ADOMET-DMK-METHYLTRANSFER-RXN	
O-SUCCINYLBENZOATE		O-SUCCINYLBENZOATE-COA-LIG-RXN			O-SUCCINYLBENZOATE-COA-SYN-RXN	
cis-D19-37-MOH-38-Me-C57-1-ACPs		RXN1G-2544				
CPD-13337					RXN-12354	RXN-12354
3-oxo-palmitoyl-ACPs		RXN-9540			RXN-9539	
Mature-5S-rRNAs					3.1.26.8-RXN	3.1.26.8-RXN
Alpha-lactose		RXN-15158				
LAUROYLCOA-CPD					RXN-16393	
23S-rRNA-5-methylcytosine1962					RXN-11602	RXN-11602
23S-rRNA-uracil-747		RXN-11600	RXN-11600			
CPD-19780		RXN-10245	RXN-10245			
DIHYDRONEOPTERIN-P					H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	
ETHANOL-AMINE					RXN-14160;RXN0-7012	RXN0-7012
CPD-19242					RXN-17961	
CPD-12427					RXN-18435	RXN-18435
SS-Oligoribonucleotides					3.1.26.11-RXN	3.1.26.11-RXN
CPD-12124					RXN-9220	
D-aspartate-peptidoglycan					6.3.1.12-RXN	
2-Methoxy-6-Polyprenyl-14-Benzoquinols		RXN-11754				
mature-tRNA					3.1.26.11-RXN	3.1.26.11-RXN
CPD8J2-1					RXN8J2-1	
23S-rRNA-pseudouridine2604					RXN-11835	RXN-11835
BETA-D-XYLOSE					3.2.1.156-RXN;3.2.1.37-RXN	
CPD-13446					3.2.1.83-RXN	
5-AMINO-LEVULINATE		RXN-15714				
DEOXYINOSINE		DEOXYINOPHOSPHOR-RXN	DEOXYINOPHOSPHOR-RXN		ADDALT-RXN	ADDALT-RXN
ACETYLSERINE		RXN-12726;ACSERLY-RXN	RXN-12726;ACSERLY-RXN		SERINE-O-ACETTRAN-RXN	SERINE-O-ACETTRAN-RXN
CPD-321		RXN-16322	RXN-16322			
CPD-17447		RXN-16201	RXN-16201			
16S-rRNA-guanine-1207		RXN-11576				
THYMINE					THYM-PHOSPH-RXN	
1-Phosphatidyl-2-O-D-Ala-Glycerol		6.1.1.13-RXN	6.1.1.13-RXN			
Unspecified-Degradation-Products					RXN-16322	RXN-16322
3-Oxoacyl-CoAs		RXN-20153				
DIMETHYL-D-RIBITYL-LUMAZINE		RIBOFLAVIN-SYN-RXN			LUMAZINESYN-RXN	
CELLOBIOSE		BETA-GLUCOSIDE-KINASE-RXN	BETA-GLUCOSIDE-KINASE-RXN			
CPD-12305		RXN-11344				
L-1-PHOSPHATIDYL-ETHANOLAMINE		RXN0-7012	RXN0-7012			
CPD-21221					3.2.2.23-RXN;RXN-18435;RXN-21266	3.2.2.23-RXN;RXN-18435;RXN-21266
CPD-17443		RXN-16194	RXN-16194			
CPD-507					BETA-GLUCOSIDE-KINASE-RXN	BETA-GLUCOSIDE-KINASE-RXN
NITRITE					RXN-16322;2-NITROPROPANE-DIOXYGENASE-RXN	RXN-16322;2-NITROPROPANE-DIOXYGENASE-RXN
CPD-17531		RXN-16285				
HYDROQUINONE					RXN0-5295	RXN0-5295
ASCORBATE		RXN0-2461				
MEVALONATE		HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN			
DEOXYADENOSINE		RXN-15140;DEOXYADENPHOSPHOR-RXN;ADDALT-RXN	RXN-15140;DEOXYADENPHOSPHOR-RXN;ADDALT-RXN			
CPD-13445					3.2.1.83-RXN	
23S-rRNA-uridine955-2504-2580		RXN-11838	RXN-11838			
L-ASCORBATE-6-PHOSPHATE			RXN0-5214		RXN0-2461	
12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL1					2.4.1.208-RXN	2.4.1.208-RXN
Hexanoyl-ACPs		RXN-9523			RXN-9658	
CPD-21481		RXN-9010				
Diribonucleotide					RXN0-7023	RXN0-7023
23S-rRNA-uridine2605		RXN-11836	RXN-11836			
Red-Glutaredoxins		RXN-982				
23S-rRNA-N1-methylguanine745					RXN-11573	
DIMETHYL-GLYCINE					RXN-13404	RXN-13404
tRNA-containing-5Me-uridine54					2.1.1.74-RXN	2.1.1.74-RXN
DIHYDROXY-BUTANONE-P		LUMAZINESYN-RXN				
CPD-1771		N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN	N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN			
kappa-Carrageenan		3.2.1.83-RXN				
Macrolide-Antibiotics		RXN-22384			RXN-22384	
23S-rRNA-guanine-2551		RXN-11588				
S-METHYL-L-CYSTEINE					RXN-16201	RXN-16201
CPD-9925					NAPHTHOATE-SYN-RXN	
TRANS-D2-ENOYL-ACP		RXN-17126;ENOYL-ACP-REDUCT-NADH-RXN;ENOYL-ACP-REDUCT-NADPH-RXN			3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
16S-rRNA-N2-methylguanine1207					RXN-11576	
CPD-12719					RXN-11751	
AGMATHINE		AGMATINE-DEIMINASE-RXN				
PALMITALDEHYDE					1.2.1.42-RXN;RXN-14169	
Dipeptides-With-Proline-Carboxy		3.4.13.9-RXN	3.4.13.9-RXN		3.4.14.11-RXN	
3-Prime-Phosphate-Terminated-DNAs					3.2.2.23-RXN;RXN-18435;RXN-21266	3.2.2.23-RXN;RXN-18435;RXN-21266
23S-rRNA-pseudouridine955-2504-2580					RXN-11838	RXN-11838
cis-21-CP-39-keto-40-Me-C60-ACPs					RXN1G-3641	
