metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
ARG	ARGININE--TRNA-LIGASE-RXN	ARGININE--TRNA-LIGASE-RXN;ARGININE-DEIMINASE-RXN	ARGININE--TRNA-LIGASE-RXN	ARGSUCCINLYA-RXN	ARGSUCCINLYA-RXN	ARGSUCCINLYA-RXN
S-Substituted-L-Cysteines	RXN-6763	RXN-6763	RXN-6763			
LEU	LEUCINE--TRNA-LIGASE-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEUCINE--TRNA-LIGASE-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEUCINE--TRNA-LIGASE-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN			
L-ARGININO-SUCCINATE	ARGSUCCINLYA-RXN	ARGSUCCINLYA-RXN	ARGSUCCINLYA-RXN	ARGSUCCINSYN-RXN	ARGSUCCINSYN-RXN	ARGSUCCINSYN-RXN
L-CYSTEATE	RXN-11737	RXN-11737	RXN-11737			
Resolution-of-Recombinational-Junction				3.1.22.4-RXN	3.1.22.4-RXN	3.1.22.4-RXN
Prolipoprotein-Cysteines	RXN0-20	RXN0-20	RXN0-20			
CPD-12310				RXN-11350	RXN-11350	
CPDQT-36	RXNQT-4165	RXNQT-4165	RXNQT-4165			
Aliphatic-N-Acetyl-Diamines				DIAMACTRANS-RXN	DIAMACTRANS-RXN	DIAMACTRANS-RXN
BENZOATE				RXN-11192		
All-holo-ACPs				HOLO-ACP-SYNTH-RXN	HOLO-ACP-SYNTH-RXN	HOLO-ACP-SYNTH-RXN
THZ-P		THI-P-SYN-RXN		THIAZOLSYN3-RXN	THIAZOLSYN3-RXN	
L-GLUTAMATE_GAMMA-SEMIALDEHYDE				SPONTPRO-RXN;GLUTSEMIALDEHYDROG-RXN	SPONTPRO-RXN;GLUTSEMIALDEHYDROG-RXN	SPONTPRO-RXN;GLUTSEMIALDEHYDROG-RXN
tRNAs				RXN0-6484;RXN0-6482;RXN0-6480;RXN-15041;AMINOCYL-TRNA-HYDROLASE-RXN	AMINOCYL-TRNA-HYDROLASE-RXN;RXN-15041;RXN0-6480	AMINOCYL-TRNA-HYDROLASE-RXN;RXN-15041;RXN0-6480
tRNA-Containing-N1-MethylAdenine-58				RXN-12466		
